gu,contract_month,user_risk_score,investor_risk_score,total_risk_score,risk_grade,warning_flag,cluster_profile,rf_risk_prob,logistic_risk_prob
송파구,2026-04,0.9121714285714284,0.8805714285714286,0.8963714285714286,높음,1,고위험형,0.9652532467532466,0.9999974099013687
강동구,2026-04,0.8090857142857144,0.7977142857142856,0.8034,높음,1,고위험형,0.9810714285714286,0.9997904179805459
서초구,2026-04,0.7785714285714285,0.7781142857142856,0.778342857142857,높음,1,고위험형,0.9652857142857144,0.9910248802967839
강남구,2026-04,0.7862857142857143,0.7470857142857142,0.7666857142857142,높음,1,보통형,0.8952857142857141,0.9979316770445723
성동구,2026-04,0.6856571428571429,0.7538285714285713,0.719742857142857,높음,0,고위험형,0.9713571428571427,0.9582649334830164
양천구,2026-04,0.678,0.6621714285714286,0.6700857142857144,높음,0,보통형,0.946,0.6519817927469043
구로구,2026-04,0.6390285714285715,0.6929142857142858,0.6659714285714287,높음,0,고위험형,0.7671268731268731,0.737688087058154
마포구,2026-04,0.6735142857142857,0.6475428571428572,0.6605285714285715,높음,0,보통형,0.7159580419580419,0.46196575628008535
관악구,2026-04,0.6477714285714287,0.5753714285714285,0.6115714285714287,주의,0,보통형,0.27741991341991346,0.33764090282957104
금천구,2026-04,0.6669714285714285,0.5526857142857143,0.6098285714285714,주의,0,안정형,0.35787687312687316,0.7613761239649661
광진구,2026-04,0.6031142857142857,0.6158857142857143,0.6094999999999999,주의,0,보통형,0.1665779220779221,0.2063242712386658
은평구,2026-04,0.5884571428571429,0.616,0.6022285714285714,주의,0,고위험형,0.16382467532467535,0.1383411714824314
노원구,2026-04,0.5654285714285714,0.4711999999999999,0.5183142857142857,보통,0,보통형,0.0657857142857143,0.032614662140815064
용산구,2026-04,0.5175428571428571,0.4777142857142856,0.4976285714285713,보통,0,안정형,0.013500000000000002,0.029335868431705544
중구,2026-04,0.5189142857142857,0.4594285714285714,0.4891714285714285,보통,0,안정형,0.02207142857142857,0.02349095601815041
동작구,2026-04,0.5101142857142857,0.4446857142857143,0.4774,보통,0,보통형,0.02,0.008907051273344744
도봉구,2026-04,0.4773714285714285,0.4742285714285714,0.4758,보통,0,보통형,0.015,0.004884304136818766
영등포구,2026-04,0.5202857142857144,0.4233142857142857,0.4718,보통,0,보통형,0.004285714285714286,0.009356416490854523
강북구,2026-04,0.503,0.4191428571428571,0.4610714285714286,보통,0,안정형,0.08064285714285716,0.0013954743907202633
동대문구,2026-04,0.3682857142857143,0.3662285714285714,0.3672571428571429,안정,0,안정형,0.0,0.00033296794417401993
중랑구,2026-04,0.4012,0.3048571428571429,0.3530285714285714,안정,0,낮은 위험형,0.03557142857142857,1.3163689691051466e-05
강서구,2026-04,0.3549142857142857,0.3060571428571428,0.3304857142857142,낮음,0,낮은 위험형,0.0,9.824825446725288e-06
종로구,2026-04,0.3643428571428571,0.2878857142857143,0.3261142857142857,낮음,0,안정형,0.0,0.0002172460891306505
서대문구,2026-04,0.3213714285714286,0.2577142857142857,0.2895428571428571,낮음,0,안정형,0.009,4.1853653822787476e-05
성북구,2026-04,0.3366285714285714,0.2282285714285714,0.2824285714285713,낮음,0,보통형,0.018000000000000002,3.2897577366546785e-05
