rank,gu,contract_month,total_risk_score,resident_risk_index,investor_risk_index,risk_grade,resident_risk_grade,investor_risk_grade,warning_flag,kmeans_cluster,stagnation_score,stagnation_level,gap_rate,sale_growth_1m,growth_gap_1m,monthly_ratio
1,송파구,2026-04,0.8963714285714286,0.9121714285714284,0.8805714285714286,높음,높음,높음,1,4,0.2,1단계_활발관찰,0.6401999357720066,0.1204487275380086,0.0851786769709097,0.4982876712328767
2,강동구,2026-04,0.8034,0.8090857142857144,0.7977142857142856,높음,높음,높음,1,3,0.45,3단계_안정정체,0.5692164997865381,0.0949460986737256,0.1210984967054091,0.4837310195227766
3,서초구,2026-04,0.778342857142857,0.7785714285714285,0.7781142857142856,높음,높음,높음,1,4,0.65,4단계_신중정체,0.5489080556236952,0.0737685188308081,0.0724428145187712,0.4647302904564315
4,강남구,2026-04,0.7666857142857142,0.7862857142857143,0.7470857142857142,높음,높음,높음,1,4,0.2,1단계_활발관찰,0.631588006020398,0.0427677047173895,-0.0047393480865529,0.5129390018484289
5,성동구,2026-04,0.719742857142857,0.6856571428571429,0.7538285714285713,높음,높음,높음,0,4,0.2,1단계_활발관찰,0.5712844335310415,0.0373938617341138,0.070984474990739,0.4200988467874794
6,양천구,2026-04,0.6700857142857144,0.678,0.6621714285714286,높음,높음,높음,0,2,0.2,1단계_활발관찰,0.5183755723943207,0.0458716015230664,0.0395156802702514,0.4253200568990042
7,구로구,2026-04,0.6659714285714287,0.6390285714285715,0.6929142857142858,높음,주의,높음,0,3,0.6,3단계_안정정체,0.5250667085469826,-0.0023552638614208,0.1441238359655468,0.492772667542707
8,마포구,2026-04,0.6605285714285715,0.6735142857142857,0.6475428571428572,높음,높음,주의,0,4,0.35,2단계_완만정체,0.5037963369350282,0.0279956136045353,0.0107622974867245,0.53125
9,관악구,2026-04,0.6115714285714287,0.6477714285714287,0.5753714285714285,주의,높음,주의,0,2,0.0,1단계_활발관찰,0.440829017910243,0.0614713571497373,0.0445919467808391,0.470404984423676
10,금천구,2026-04,0.6098285714285714,0.6669714285714285,0.5526857142857143,주의,높음,주의,0,0,0.1,1단계_활발관찰,0.3995596133099456,0.0867768915775097,0.0582857530419871,0.5590062111801242
11,광진구,2026-04,0.6094999999999999,0.6031142857142857,0.6158857142857143,주의,주의,주의,0,2,0.1,1단계_활발관찰,0.4925695993396297,0.0254518649194173,0.0110936058801971,0.4444444444444444
12,은평구,2026-04,0.6022285714285714,0.5884571428571429,0.616,주의,주의,주의,0,0,0.25,2단계_완만정체,0.4505001974283572,0.015456423409458,0.0952557242861787,0.5026809651474531
13,노원구,2026-04,0.5183142857142857,0.5654285714285714,0.4711999999999999,보통,주의,보통,0,2,0.25,2단계_완만정체,0.487894080008014,0.0230971703586213,-0.0245771508773458,0.4300469483568075
14,용산구,2026-04,0.4976285714285713,0.5175428571428571,0.4777142857142856,보통,보통,보통,0,4,0.55,3단계_안정정체,0.5801577252132933,-0.0762604117940185,-0.1023882567522688,0.6521739130434783
15,중구,2026-04,0.4891714285714285,0.5189142857142857,0.4594285714285714,보통,보통,보통,0,0,0.5,3단계_안정정체,0.427929730845061,0.0072965868820478,-0.0109621128514694,0.5921787709497207
16,동작구,2026-04,0.4774,0.5101142857142857,0.4446857142857143,보통,보통,안정,0,4,0.0,1단계_활발관찰,0.5013907517868406,-0.0107461496920259,-0.0525611097018162,0.4678571428571428
17,도봉구,2026-04,0.4758,0.4773714285714285,0.4742285714285714,보통,보통,보통,0,2,0.30000000000000004,2단계_완만정체,0.4551428404894272,0.0158139069905118,0.0178541317536818,0.373015873015873
18,영등포구,2026-04,0.4718,0.5202857142857144,0.4233142857142857,보통,보통,안정,0,2,0.25,2단계_완만정체,0.4833849894631896,-0.004716724451279,-0.0517949398512808,0.490566037735849
19,강북구,2026-04,0.4610714285714286,0.503,0.4191428571428571,보통,보통,안정,0,0,0.25,2단계_완만정체,0.3443075624811601,0.0517030198966395,0.0137315634446411,0.453125
20,동대문구,2026-04,0.3672571428571429,0.3682857142857143,0.3662285714285714,안정,안정,안정,0,0,0.0,1단계_활발관찰,0.4042817901580833,-0.0268931852110793,-0.0097629989649941,0.502127659574468
21,중랑구,2026-04,0.3530285714285714,0.4012,0.3048571428571429,안정,안정,낮음,0,1,0.35,2단계_완만정체,0.3775320359191333,-0.001101691830286,-0.4155757428941641,0.7398230088495575
22,강서구,2026-04,0.3304857142857142,0.3549142857142857,0.3060571428571428,낮음,안정,낮음,0,1,0.0,1단계_활발관찰,0.4567364114244733,-0.0535553588146923,-0.1429133994987909,0.4348327566320646
23,종로구,2026-04,0.3261142857142857,0.3643428571428571,0.2878857142857143,낮음,안정,낮음,0,0,0.1,1단계_활발관찰,0.3747459446973252,-0.0219333718451808,-0.0436378421327379,0.5641025641025641
24,서대문구,2026-04,0.2895428571428571,0.3213714285714286,0.2577142857142857,낮음,낮음,낮음,0,0,0.2,1단계_활발관찰,0.3990096539647996,-0.0364947668082334,-0.0412414503289427,0.4855233853006681
25,성북구,2026-04,0.2824285714285713,0.3366285714285714,0.2282285714285714,낮음,낮음,낮음,0,2,0.0,1단계_활발관찰,0.3706386365767691,0.0142956743862736,-0.0638387255790418,0.3891304347826086
