rank,gu,contract_month,total_risk_score,risk_grade,resident_risk_grade,investor_risk_grade,kmeans_cluster,warning_flag
1,송파구,2026-04,0.8963714285714286,높음,높음,높음,4,1
2,강동구,2026-04,0.8034,높음,높음,높음,3,1
3,서초구,2026-04,0.778342857142857,높음,높음,높음,4,1
4,강남구,2026-04,0.7666857142857142,높음,높음,높음,4,1
5,성동구,2026-04,0.719742857142857,높음,높음,높음,4,0
6,양천구,2026-04,0.6700857142857144,높음,높음,높음,2,0
7,구로구,2026-04,0.6659714285714287,높음,주의,높음,3,0
8,마포구,2026-04,0.6605285714285715,높음,높음,주의,4,0
9,관악구,2026-04,0.6115714285714287,주의,높음,주의,2,0
10,금천구,2026-04,0.6098285714285714,주의,높음,주의,0,0
