rank,gu,contract_month,avg_sale_price,support_pred_price,support_gap,support_gap_ratio,resident_risk_index,investor_risk_index,stagnation_score,total_risk_score,risk_grade,price_support_signal
1,영등포구,2026-04,127300,108669,18631,17.1,0.467,0.383,0.25,0.425,보통,가격 지지력 대비 높음
2,용산구,2026-04,211928,185186,26743,14.4,0.561,0.421,0.55,0.491,주의,추가 확인 필요
3,양천구,2026-04,118044,104630,13414,12.8,0.502,0.437,0.2,0.47,주의,추가 확인 필요
4,성동구,2026-04,168874,152310,16564,10.9,0.546,0.484,0.2,0.515,높음,추가 확인 필요
5,금천구,2026-04,68848,63712,5136,8.1,0.453,0.388,0.1,0.42,보통,추가 확인 필요
6,관악구,2026-04,88018,82426,5592,6.8,0.46,0.402,0.0,0.431,보통,추가 확인 필요
7,강동구,2026-04,128284,120382,7902,6.6,0.586,0.498,0.45,0.542,높음,추가 확인 필요
8,강북구,2026-04,74178,71814,2364,3.3,0.363,0.34,0.25,0.352,낮음,상대적으로 안정
9,서초구,2026-04,232137,226361,5776,2.6,0.547,0.476,0.65,0.511,높음,상대적으로 안정
10,강남구,2026-04,255578,249295,6284,2.5,0.614,0.513,0.2,0.563,높음,상대적으로 안정
11,동작구,2026-04,139156,136643,2512,1.8,0.464,0.385,0.0,0.424,보통,상대적으로 안정
12,노원구,2026-04,63703,63119,585,0.9,0.465,0.394,0.25,0.43,보통,상대적으로 안정
13,도봉구,2026-04,56191,55992,199,0.4,0.441,0.399,0.3,0.42,보통,상대적으로 안정
14,은평구,2026-04,81538,81459,79,0.1,0.472,0.413,0.25,0.442,보통,상대적으로 안정
15,구로구,2026-04,71659,71725,-66,-0.1,0.557,0.481,0.6,0.519,높음,상대적으로 안정
16,마포구,2026-04,141489,142445,-956,-0.7,0.517,0.443,0.35,0.48,주의,상대적으로 안정
17,강서구,2026-04,85014,85740,-726,-0.8,0.398,0.339,0.0,0.369,안정,상대적으로 안정
18,광진구,2026-04,139903,142674,-2771,-1.9,0.512,0.473,0.1,0.492,주의,상대적으로 안정
19,중랑구,2026-04,67503,71085,-3582,-5.0,0.405,0.304,0.35,0.355,낮음,상대적으로 안정
20,송파구,2026-04,199758,211194,-11436,-5.4,0.644,0.548,0.2,0.596,높음,상대적으로 안정
21,동대문구,2026-04,94900,100372,-5472,-5.5,0.402,0.35,0.0,0.376,안정,상대적으로 안정
22,서대문구,2026-04,98691,104876,-6185,-5.9,0.375,0.313,0.2,0.344,낮음,상대적으로 안정
23,중구,2026-04,107164,118080,-10916,-9.2,0.443,0.368,0.5,0.406,안정,상대적으로 안정
24,성북구,2026-04,90531,102063,-11532,-11.3,0.343,0.31,0.0,0.327,낮음,상대적으로 안정
25,종로구,2026-04,111284,131434,-20150,-15.3,0.398,0.335,0.1,0.367,낮음,상대적으로 안정
