rank,gu,contract_month,avg_sale_price,support_pred_price,support_gap,support_gap_ratio,resident_risk_index,investor_risk_index,stagnation_score,total_risk_score,risk_grade,price_support_signal
1,영등포구,2026-04,127300,108669,18631,17.1,0.467,0.383,0.25,0.425,보통,가격 지지력 대비 높음
2,용산구,2026-04,211928,185186,26743,14.4,0.561,0.421,0.55,0.491,주의,추가 확인 필요
3,양천구,2026-04,118044,104630,13414,12.8,0.502,0.437,0.2,0.47,주의,추가 확인 필요
4,성동구,2026-04,168874,152310,16564,10.9,0.546,0.484,0.2,0.515,높음,추가 확인 필요
5,금천구,2026-04,68848,63712,5136,8.1,0.453,0.388,0.1,0.42,보통,추가 확인 필요
6,관악구,2026-04,88018,82426,5592,6.8,0.46,0.402,0.0,0.431,보통,추가 확인 필요
7,강동구,2026-04,128284,120382,7902,6.6,0.586,0.498,0.45,0.542,높음,추가 확인 필요
8,강북구,2026-04,74178,71814,2364,3.3,0.363,0.34,0.25,0.352,낮음,상대적으로 안정
9,서초구,2026-04,232137,226361,5776,2.6,0.547,0.476,0.65,0.511,높음,상대적으로 안정
10,강남구,2026-04,255578,249295,6284,2.5,0.614,0.513,0.2,0.563,높음,상대적으로 안정
